City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
346,jinchang,38.4953,102.1739,21.668000000000085,55,28,1.89,CN,1701209704
347,opuwo,-18.0607,13.84,76.33399999999999,57,100,2.18,NA,1701209705
348,ponta delgada,37.7333,-25.6667,66.92000000000006,88,75,2.57,PT,1701209705
349,chisten'koye,44.8826,34.039,45.806000000000026,57,100,7.66,UA,1701209706
350,hrubieszow,50.805,23.8925,27.05,97,100,4.96,PL,1701209707
351,igrim,63.1906,64.4162,24.782000000000018,97,100,2.44,RU,1701209707
352,antsiranana,-12.2787,49.2917,76.85600000000002,87,85,3.8,MG,1701209708
353,cueramaro,20.6167,-101.7167,76.424,43,100,2.12,MX,1701209417
354,mahajanga,-15.7167,46.3167,82.22000000000006,76,17,2.35,MG,1701209709
355,hailar,49.2,119.7,1.0940000000000225,91,100,4.75,CN,1701209710
356,shirvan,39.9509,48.8994,47.06600000000001,81,0,2.24,AZ,1701209711
357,minas de marcona,-15.2119,-75.1103,72.35600000000002,49,4,3.78,PE,1701209711
358,glazov,58.1394,52.6584,26.654000000000053,97,100,2.2,RU,1701209712
359,east london,-33.0153,27.9116,65.69600000000005,77,100,7.07,ZA,1701209710
360,tsiombe,-25.3,45.4833,75.18200000000002,90,53,2.94,MG,1701209714
361,savelugu,9.6244,-0.8253,88.66400000000003,41,52,2.56,GH,1701209714
362,bhaisa,19.1,77.9667,68.48600000000008,92,4,2.71,IN,1701209715
363,aktau,43.65,51.2,36.17600000000009,62,74,3.21,KZ,1701209719
364,pochinki,54.6988,44.8668,25.82600000000009,97,91,1.56,RU,1701209720
365,la passe,45.5549,-0.8967,37.63399999999999,76,8,1.06,FR,1701209722
366,leava,-14.3,-178.1667,83.642,80,92,9.07,WF,1701209723
367,margate,51.3813,1.3862,36.69800000000002,87,10,2.24,GB,1701209724
368,dul'durga,50.6761,113.5931,1.580000000000041,82,18,5.28,RU,1701209724
369,barranca,-10.75,-77.7667,69.33200000000002,77,79,4.68,PE,1701209725
370,port-vila,-17.7338,168.3219,83.80400000000006,74,75,5.66,VU,1701209726
371,urangan,-25.3,152.9,73.13000000000004,85,19,2.15,AU,1701209726
372,lamu,-2.2717,40.902,77.21600000000001,83,92,3.38,KE,1701209727
373,yenotayevka,47.2456,47.0281,38.102000000000075,94,97,5.2,RU,1701209727
374,shimla,31.1,77.1667,41.61200000000006,61,74,2.82,IN,1701209728
375,nar'yan-mar,67.6713,53.087,1.1120000000000587,95,100,4.92,RU,1701209728
376,kudahuvadhoo,2.6708,72.8944,81.55400000000006,78,100,4.45,MV,1701209729
377,kruisfontein,-34.0033,24.7314,60.044000000000075,69,52,8.51,ZA,1701209729
378,lata,40.1629,-8.3327,61.80800000000001,95,94,2.21,PT,1701209731
379,praia da vitoria,38.7333,-27.0667,66.75800000000001,100,75,3.2,PT,1701209734
380,achinsk,56.2694,90.4993,5.180000000000042,98,51,1.79,RU,1701209736
381,sudak,44.85,34.9667,50.791999999999994,72,94,12.28,UA,1701209737
382,santana do livramento,-30.8908,-55.5328,71.34800000000003,82,28,5.37,BR,1701209737
383,point pedro,9.8167,80.2333,81.17600000000009,77,100,3.01,LK,1701209739
384,esperanza,19.5847,-70.9849,84.7760000000001,80,49,2.66,DO,1701209740
385,funafuti,-8.5243,179.1942,89.6,94,75,0.0,TV,1701209740
386,valdivia,-39.8142,-73.2459,59.09000000000002,55,0,3.22,CL,1701209741
387,khandyga,62.6667,135.6,-19.785999999999966,95,100,0.68,RU,1701209561
388,kondopoga,62.2057,34.2614,29.87600000000009,93,100,3.18,RU,1701209742
389,san pedro,14.35,121.0167,79.19600000000005,94,75,1.79,PH,1701209742
390,al kharijah,25.4514,30.5464,59.018000000000086,46,97,3.21,EG,1701209743
391,bayanhongor,46.7167,100.1167,-7.509999999999977,77,2,1.7,MN,1701209743
392,dali,25.7,100.1833,45.03200000000002,94,18,1.82,CN,1701209744
393,barcelos,41.5388,-8.6151,60.944000000000074,97,100,4.27,PT,1701209745
394,la charite-sur-loire,47.1833,3.0167,35.42000000000006,88,10,1.65,FR,1701209745
395,westport,41.1415,-73.3579,35.33000000000004,45,0,9.77,US,1701209609
396,stephenville,32.2207,-98.2023,62.924000000000014,27,0,3.6,US,1701209746
397,khvansar,33.2205,50.315,37.544000000000075,70,0,1.33,IR,1701209747
398,moissala,8.3404,17.7663,82.34600000000005,36,24,0.99,TD,1701209748
399,preobrazheniye,42.9019,133.9064,12.164000000000033,71,5,3.84,RU,1701209748
400,cape coast,5.1053,-1.2466,80.16800000000009,84,85,3.55,GH,1701209749
401,san patricio,28.017,-97.5169,60.89000000000002,35,75,1.51,US,1701209750
402,bonthe,7.5264,-12.505,80.51000000000008,80,100,0.62,SL,1701209751
403,nemuro,43.3236,145.575,32.162000000000056,63,34,12.98,JP,1701209752
404,tondano,1.3038,124.9112,69.89000000000001,95,100,1.05,ID,1701209752
405,bocaiuva,-17.1078,-43.815,83.91200000000006,44,61,0.41,BR,1701209753
406,san pedro de ycuamandiyu,-24.0917,-57.0764,82.72400000000002,75,79,2.11,PY,1701209753
407,santa ana,33.7456,-117.8678,77.30600000000003,29,0,3.6,US,1701209473
408,bakchar,57.0186,82.0711,11.102000000000078,91,50,1.95,RU,1701209754
409,mgandu,-5.95,34.1333,62.65400000000005,89,80,1.04,TZ,1701209755
410,porto novo,6.4965,2.6036,82.22000000000006,82,91,4.32,BJ,1701209756
411,chita,52.0333,113.55,1.2919999999999945,51,41,5.0,RU,1701209756
412,luanda,-8.8368,13.2343,75.2,94,40,1.03,AO,1701209757
413,porto seguro,-16.4497,-39.0647,79.32200000000003,83,0,4.63,BR,1701209757
414,manokwari,-0.8667,134.0833,79.23200000000001,78,100,1.0,ID,1701209758
415,heihe,50.2441,127.4902,-10.62399999999996,80,100,3.35,CN,1701209758
416,zhovkva,50.0583,23.9726,29.624000000000013,98,100,3.67,UA,1701209759
417,quatre cocos,-20.2078,57.7625,75.092,79,45,3.1,MU,1701209759
418,conception bay south,47.4999,-52.9981,50.45,96,100,12.79,CA,1701209760
419,puerto leguizamo,-0.1934,-74.7819,76.33399999999999,95,99,0.43,CO,1701209760
420,inongo,-1.95,18.2667,71.042,97,89,1.5,CD,1701209761
421,nicoya,10.1483,-85.452,81.68000000000004,75,69,5.15,CR,1701209762
422,syumsi,57.1111,51.6149,19.814000000000032,97,100,1.95,RU,1701209762
423,altpinar,39.2042,32.7478,37.022000000000034,54,100,2.89,TR,1701209763
424,masterton,-40.9597,175.6575,57.88399999999999,91,100,2.69,NZ,1701209763
425,argo,37.6333,22.7333,64.77800000000006,73,34,5.82,GR,1701209469
426,polyarnyy,69.1989,33.4478,27.554000000000052,88,97,7.34,RU,1701209764
427,puerto baquerizo moreno,-0.9,-89.6,81.59000000000002,78,40,6.17,EC,1701209539
428,atasu,48.6814,71.6433,38.983999999999995,54,99,3.08,KZ,1701209766
429,okhotsk,59.3833,143.3,11.3,92,100,3.17,RU,1701209766
430,happy valley-goose bay,53.3168,-60.3315,35.90600000000003,93,100,1.54,CA,1701209767
431,dakoro,14.5106,6.765,80.58200000000002,25,36,4.44,NE,1701209767
432,ishigaki,24.3448,124.1572,73.5260000000001,68,75,5.14,JP,1701209768
433,el granada,37.5027,-122.4694,69.17000000000006,52,0,7.2,US,1701209768
434,temirlanovka,42.5994,69.2633,51.38600000000007,38,100,1.87,KZ,1701209769
435,ulladulla,-35.35,150.4667,66.48800000000004,95,100,9.39,AU,1701209770
436,haffouz,35.6324,9.6762,58.22600000000009,57,34,1.81,TN,1701209770
437,queenstown,-31.8976,26.8753,57.452000000000076,77,96,4.7,ZA,1701209771
438,koulikoro,14.0,-7.75,76.06400000000004,20,0,3.56,ML,1701209771
439,cabagan,17.4333,121.75,75.68600000000006,91,97,0.38,PH,1701209772
440,zakynthos,37.7914,20.8953,63.82400000000001,81,100,10.95,GR,1701209773
